Reservedel Nummer.;ORG varenummer;Beskrivelse.;Lokation;Antal
BRK00001;0;Front Master Cylinder;A01-1;1
BRK00002;0;Rear Master Cylinder ;A01-1;1
BRK00003;0;Master Cylinder Push Fitting Adapter ;A01-1;1
BRK00004;0;Brake Resevoir Race;A01-2;1
BRK00005;0;Brake Resevoir W. Float Level;A01-2;1
BRK00007;0;Brake Light Banjo Bolt Straight;A01-2;1
BRK00008;0;Brake Light Banjo Bolt Angled ;A01-2;1
BRK00011;0;Brakeline and Fittings 1M Race;A01-2;1
BRK00012;0;Resevoir Bracket Alloy ;Ingen lokation;1
BRK00015;0;Remote BIAS Adjuster;A01-2;1
BRK00019;950656;Front Brake Caliper 4 Piston Wilwood;A01-3;1
BRK00020;874494;Rear Brake Caliper 4 Piston Wilwood;A01-3;1
BRK00021;874494-handbrake;Handbrake Caliper 4 Piston Wilwood;A01-3;1
BRK00022;15E-8810K;Polly Matrix E-Brakepads - Axle Set;A01-4;1
BRK00023;15A-8809K;Polly Matrix A Brakepads - Axle Set ;A01-4;1
BRK00024;PBD202G;Front Cross Drilled and Grooved Disk Set;A01-5;1
BRK00025;PBD022G;Rear Cross Drilled and Grooved Disk Set;A01-5;1
BRK00027;0;Motul 660 Brakefluid 0,5 L;A01-4;1
